N,P,K,temperature,humidity,ph,rainfall,label,land_size,water_supply,preference_cereals,preference_vegetables,preference_fruits
1.87,77.24,22.35,23.89,61.79,6.66,9.73,Cowpea,1.806,0,0,1,0
3.14,71.12,23.84,28.67,63.19,7.3,166.41,Cowpea,0.654,1,0,1,0
28.63,80.03,24.65,28.42,61.77,7.82,10.61,Cowpea,1.057,0,0,1,0
37.54,84.69,16.21,21.35,62.6,5.93,9.81,Cowpea,0.534,0,0,1,0
37.04,84.15,15.97,21.13,63.19,6.4,1.2,Cowpea,0.927,1,0,1,0
33.9,63.2,21.03,24.02,61.62,7.4,85.82,Cowpea,0.396,1,0,1,0
30.22,59.68,23.1,25.4,65.86,7.72,34.25,Cowpea,1.734,1,0,1,0
22.14,72.54,22.67,29.03,64.49,7.48,36.2,Cowpea,0.289,1,0,1,0
3.0,76.85,17.96,20.21,68.65,6.89,65.43,Cowpea,1.958,0,0,1,0
3.79,74.35,14.79,29.2,68.02,7.44,79.37,Cowpea,0.707,0,0,1,0
12.28,59.16,24.78,18.3,69.69,7.63,58.81,Cowpea,1.448,0,0,1,0
11.48,67.52,18.84,27.41,63.42,7.34,8.58,Cowpea,1.344,0,0,1,0
4.16,59.45,19.73,24.84,60.09,6.75,48.29,Cowpea,1.872,0,0,1,0
9.81,58.12,19.03,29.94,67.31,7.52,4.47,Cowpea,1.745,0,0,1,0
16.88,67.14,24.12,25.88,67.55,6.35,31.49,Cowpea,1.061,1,0,1,0
29.4,54.87,16.31,20.05,65.84,7.14,51.72,Cowpea,1.512,0,0,1,0
6.42,77.19,15.25,22.99,66.71,7.67,9.86,Cowpea,1.231,1,0,1,0
14.0,82.7,20.53,25.13,66.93,7.4,48.04,Cowpea,0.35,0,0,1,0
0.0,65.21,25.11,28.5,62.45,7.84,128.17,Cowpea,1.588,0,0,1,0
27.79,77.01,20.53,18.29,69.49,6.25,2.83,Cowpea,0.374,1,0,1,0
2.91,57.8,14.46,24.38,61.18,6.87,34.46,Cowpea,1.147,0,0,1,0
1.81,80.95,24.63,21.32,66.44,7.32,55.97,Cowpea,0.872,1,0,1,0
10.08,82.6,18.07,18.54,62.71,6.3,8.77,Cowpea,0.975,1,0,1,0
13.97,66.66,25.4,25.29,60.86,7.24,2.9,Cowpea,1.677,0,0,1,0
37.17,60.56,22.21,25.43,69.13,7.69,34.84,Cowpea,0.866,0,0,1,0
20.08,65.82,15.61,28.84,69.76,6.89,41.4,Cowpea,1.378,1,0,1,0
19.16,60.67,22.84,27.38,63.94,6.16,146.57,Cowpea,1.142,0,0,1,0
29.94,61.38,15.64,28.32,60.19,6.17,6.82,Cowpea,1.833,1,0,1,0
27.72,60.83,26.65,27.48,62.05,6.86,80.91,Cowpea,0.435,0,0,1,0
5.1,70.82,18.44,18.28,68.1,6.98,65.49,Cowpea,0.702,0,0,1,0
16.5,65.29,17.79,27.61,69.3,7.04,13.03,Cowpea,1.324,1,0,1,0
36.76,63.25,20.75,23.44,63.22,5.94,5.95,Cowpea,1.911,0,0,1,0
14.45,68.0,20.1,20.96,63.68,7.24,2.81,Cowpea,0.427,0,0,1,0
20.85,49.87,15.45,23.79,68.03,6.52,173.92,Cowpea,1.797,1,0,1,0
22.11,66.44,15.37,22.64,65.45,6.23,49.49,Cowpea,0.976,0,0,1,0
1.91,86.32,13.8,21.54,65.47,7.51,17.96,Cowpea,0.737,1,0,1,0
23.89,66.37,16.83,29.88,65.73,6.95,4.74,Cowpea,1.714,1,0,1,0
29.21,59.81,13.7,25.27,67.1,6.96,188.4,Cowpea,0.881,0,0,1,0
25.5,67.17,14.94,25.18,68.93,6.55,47.79,Cowpea,1.151,0,0,1,0
12.96,76.47,27.26,24.12,61.1,6.46,9.57,Cowpea,0.388,0,0,1,0
5.83,60.24,23.31,23.34,67.4,7.07,45.37,Cowpea,0.436,1,0,1,0
12.04,62.96,23.54,21.75,63.4,6.77,192.55,Cowpea,1.034,1,0,1,0
32.8,83.63,22.86,27.6,63.46,5.92,7.42,Cowpea,1.596,1,0,1,0
5.81,66.79,18.34,24.39,62.5,6.71,184.03,Cowpea,1.176,1,0,1,0
10.29,86.45,21.41,24.98,66.9,6.38,2.31,Cowpea,0.566,1,0,1,0
40.94,81.92,24.08,28.23,69.32,6.31,142.1,Cowpea,0.372,0,0,1,0
16.2,76.39,16.5,26.03,69.56,7.39,122.84,Cowpea,1.875,1,0,1,0
27.46,66.67,24.9,28.05,64.08,7.5,3.5,Cowpea,1.695,1,0,1,0
21.13,70.35,15.73,24.87,64.0,7.2,43.47,Cowpea,1.531,0,0,1,0
34.4,81.97,20.56,23.97,62.36,7.01,32.59,Cowpea,1.177,1,0,1,0
20.16,76.55,19.11,20.06,67.76,6.68,49.89,Cowpea,1.319,0,0,1,0
23.46,56.56,19.0,19.59,61.29,6.74,17.9,Cowpea,0.273,0,0,1,0
25.76,75.67,17.44,29.77,66.29,6.55,8.35,Cowpea,0.274,1,0,1,0
1.03,66.67,19.54,27.52,60.54,6.55,1.02,Cowpea,1.282,1,0,1,0
12.78,70.24,24.57,25.63,63.15,6.59,48.78,Cowpea,1.919,0,0,1,0
36.06,69.49,18.6,20.39,60.48,6.92,6.19,Cowpea,1.878,0,0,1,0
30.47,64.79,19.6,25.39,60.5,7.44,5.46,Cowpea,1.041,1,0,1,0
12.43,78.01,17.25,24.91,60.71,7.14,99.48,Cowpea,1.284,1,0,1,0
21.56,61.63,15.02,27.7,63.21,7.75,4.33,Cowpea,0.786,0,0,1,0
28.47,67.15,21.95,18.06,65.1,6.3,46.43,Cowpea,0.877,1,0,1,0
17.19,62.43,14.61,18.13,62.46,6.08,36.48,Cowpea,0.516,1,0,1,0
14.71,62.55,21.37,23.83,67.9,6.77,63.66,Cowpea,0.656,0,0,1,0
34.09,55.86,17.35,23.19,62.75,7.64,79.1,Cowpea,1.173,0,0,1,0
21.35,66.68,18.61,25.09,68.18,6.56,7.01,Cowpea,1.691,1,0,1,0
0.0,63.54,21.5,25.87,61.88,7.07,72.28,Cowpea,1.054,0,0,1,0
10.51,75.85,16.02,18.44,68.05,7.73,2.79,Cowpea,0.411,1,0,1,0
28.83,59.34,18.89,27.15,67.03,6.16,9.43,Cowpea,0.635,1,0,1,0
0.0,71.36,16.1,23.33,64.51,7.24,37.74,Cowpea,1.276,0,0,1,0
38.14,78.28,21.4,26.72,62.97,6.9,98.67,Cowpea,1.202,1,0,1,0
7.43,59.06,21.88,19.56,64.45,6.82,4.37,Cowpea,0.944,1,0,1,0
8.81,57.95,15.96,26.14,66.77,6.26,21.77,Cowpea,1.839,1,0,1,0
14.51,79.48,16.23,28.0,65.58,6.49,11.4,Cowpea,0.352,0,0,1,0
14.78,77.75,19.84,29.06,62.11,7.04,57.67,Cowpea,0.987,1,0,1,0
39.32,66.7,17.44,25.71,64.11,7.69,5.63,Cowpea,1.88,1,0,1,0
29.09,66.28,19.07,21.8,63.73,6.25,7.74,Cowpea,1.439,0,0,1,0
25.44,80.48,15.81,24.71,60.27,6.05,7.27,Cowpea,0.423,1,0,1,0
37.8,58.51,22.14,20.95,65.81,7.0,5.72,Cowpea,1.849,0,0,1,0
10.55,74.54,17.58,24.85,68.98,7.27,7.76,Cowpea,0.483,1,0,1,0
12.27,79.7,18.28,21.91,65.22,5.96,40.89,Cowpea,0.315,1,0,1,0
36.24,69.49,21.21,25.93,68.71,7.08,52.6,Cowpea,0.455,1,0,1,0
0.0,66.0,21.15,29.82,69.41,6.59,26.91,Cowpea,0.944,0,0,1,0
6.77,71.87,27.34,27.52,63.13,7.29,7.68,Cowpea,0.483,0,0,1,0
9.73,54.04,16.32,28.0,68.64,7.33,5.59,Cowpea,0.708,1,0,1,0
42.48,66.33,14.95,20.77,63.9,6.37,9.76,Cowpea,1.669,1,0,1,0
27.59,53.63,21.42,23.05,60.42,7.01,70.1,Cowpea,0.578,0,0,1,0
8.28,82.65,17.64,21.66,63.58,6.28,19.83,Cowpea,1.96,1,0,1,0
3.92,63.89,17.53,26.25,67.63,7.62,69.42,Cowpea,1.134,0,0,1,0
33.83,70.7,13.53,20.97,63.83,7.63,20.45,Cowpea,0.405,1,0,1,0
36.06,76.12,13.96,23.9,66.32,7.8,3.33,Cowpea,1.906,0,0,1,0
2.15,24.06,37.9,24.56,91.64,5.92,5.03,Pomegranate,0.366,1,0,0,1
6.75,21.53,39.93,19.66,89.94,5.94,29.29,Pomegranate,0.102,0,0,0,1
6.55,24.23,42.65,18.78,87.4,6.8,4.01,Pomegranate,0.766,1,0,0,1
41.42,18.76,45.77,24.15,94.51,6.42,20.69,Pomegranate,0.587,0,0,0,1
0.0,26.73,41.73,22.45,89.9,6.74,144.24,Pomegranate,0.309,1,0,0,1
33.09,23.84,35.46,24.96,92.41,6.5,45.35,Pomegranate,0.372,1,0,0,1
19.35,24.19,44.61,22.55,89.33,6.33,25.89,Pomegranate,0.655,1,0,0,1
5.83,26.3,38.95,22.77,91.45,6.36,89.45,Pomegranate,0.598,0,0,0,1
25.93,29.95,47.34,19.2,94.28,6.92,1.49,Pomegranate,0.281,0,0,0,1
16.99,12.95,43.03,23.13,92.68,6.63,8.26,Pomegranate,0.349,1,0,0,1
16.41,4.41,39.54,24.93,85.19,5.83,5.97,Pomegranate,0.978,1,0,0,1
16.2,11.1,44.24,24.77,85.64,6.74,26.58,Pomegranate,0.742,0,0,0,1
33.37,7.98,38.0,19.87,86.36,5.78,4.2,Pomegranate,0.621,1,0,0,1
4.52,23.08,36.97,24.27,93.8,6.54,27.49,Pomegranate,0.574,0,0,0,1
23.51,21.98,45.38,23.63,89.73,6.15,16.33,Pomegranate,0.559,1,0,0,1
13.25,14.11,35.14,19.68,89.09,6.89,40.91,Pomegranate,0.486,0,0,0,1
16.63,27.29,47.52,22.37,92.31,7.18,7.67,Pomegranate,0.826,1,0,0,1
11.83,20.49,41.08,21.58,94.88,5.94,107.06,Pomegranate,0.66,0,0,0,1
4.46,14.24,43.93,18.26,88.17,5.71,15.12,Pomegranate,0.842,1,0,0,1
19.47,26.88,47.53,23.71,89.62,6.18,106.68,Pomegranate,0.329,0,0,0,1
10.53,8.5,40.2,22.49,89.92,6.55,47.1,Pomegranate,0.732,1,0,0,1
33.13,30.99,52.79,21.66,94.79,5.89,96.32,Pomegranate,0.943,0,0,0,1
22.6,24.62,39.28,20.13,89.32,6.14,75.18,Pomegranate,0.559,1,0,0,1
9.54,13.0,44.83,18.41,91.12,6.1,7.69,Pomegranate,0.896,1,0,0,1
13.84,24.43,43.73,19.68,89.75,6.59,188.12,Pomegranate,0.69,1,0,0,1
0.0,14.47,49.83,23.2,91.19,6.86,2.86,Pomegranate,0.401,1,0,0,1
1.95,22.09,44.86,18.92,87.31,6.57,1.16,Pomegranate,0.95,0,0,0,1
30.96,6.31,42.37,22.11,91.34,6.77,91.81,Pomegranate,0.6,0,0,0,1
8.4,25.72,41.91,18.47,89.69,7.13,75.69,Pomegranate,0.611,1,0,0,1
31.58,13.94,39.92,19.81,88.93,5.74,5.28,Pomegranate,0.469,0,0,0,1
17.97,16.56,45.41,24.49,90.84,5.84,179.18,Pomegranate,0.258,1,0,0,1
35.84,21.79,44.67,18.76,89.93,6.65,69.75,Pomegranate,0.835,0,0,0,1
24.1,24.45,39.65,19.54,90.3,6.9,19.78,Pomegranate,0.201,1,0,0,1
20.76,15.65,46.84,18.91,87.75,6.61,4.38,Pomegranate,0.776,0,0,0,1
8.74,24.28,39.29,19.91,94.95,6.83,26.46,Pomegranate,0.498,0,0,0,1
27.04,16.0,47.55,19.73,89.65,6.91,3.86,Pomegranate,0.359,1,0,0,1
3.98,20.47,44.78,23.83,87.84,6.31,103.15,Pomegranate,0.141,1,0,0,1
40.83,25.89,34.0,24.94,94.26,7.01,36.45,Pomegranate,0.314,1,0,0,1
4.71,26.5,35.24,24.69,93.87,6.3,141.91,Pomegranate,0.377,0,0,0,1
21.91,14.38,40.09,24.72,85.56,6.73,7.97,Pomegranate,0.553,1,0,0,1
32.54,24.52,32.27,20.13,87.6,6.97,7.55,Pomegranate,0.204,1,0,0,1
4.72,24.61,37.87,21.02,93.06,5.58,46.43,Pomegranate,0.207,0,0,0,1
3.42,24.18,47.5,22.4,88.15,7.2,4.99,Pomegranate,0.434,0,0,0,1
30.98,19.34,35.07,20.34,89.38,5.84,67.07,Pomegranate,0.267,0,0,0,1
37.25,11.8,36.26,24.25,85.56,6.71,43.47,Pomegranate,0.708,1,0,0,1
7.66,28.95,40.75,24.82,91.91,5.97,49.32,Pomegranate,0.36,1,0,0,1
26.11,22.73,38.68,19.66,87.95,5.56,36.96,Pomegranate,0.376,0,0,0,1
5.03,21.84,35.95,22.43,90.34,6.11,24.97,Pomegranate,0.164,0,0,0,1
25.51,26.48,39.73,22.92,85.13,6.99,1.99,Pomegranate,0.646,1,0,0,1
3.88,16.7,42.38,22.92,85.41,7.13,69.34,Pomegranate,0.239,0,0,0,1
19.33,5.92,43.64,24.88,89.4,7.09,3.95,Pomegranate,0.342,0,0,0,1
32.93,21.13,51.12,23.41,93.13,6.75,39.33,Pomegranate,0.81,1,0,0,1
21.79,5.03,38.21,21.21,94.26,7.16,66.92,Pomegranate,0.937,1,0,0,1
15.39,7.61,35.86,18.2,91.12,7.01,17.01,Pomegranate,0.934,0,0,0,1
4.54,11.19,36.7,22.34,89.79,5.65,8.4,Pomegranate,0.812,0,0,0,1
22.84,24.13,46.07,24.33,90.88,6.61,24.92,Pomegranate,0.932,0,0,0,1
6.41,26.22,30.88,19.75,88.72,7.05,3.76,Pomegranate,0.22,0,0,0,1
11.01,19.97,42.01,19.86,86.2,6.03,25.25,Pomegranate,0.822,1,0,0,1
4.12,21.18,35.45,18.07,93.15,5.78,153.43,Pomegranate,0.421,0,0,0,1
3.33,10.08,39.46,23.89,89.62,6.54,7.79,Pomegranate,0.854,1,0,0,1
1.17,28.45,34.53,23.99,93.34,5.68,154.7,Pomegranate,0.405,1,0,0,1
19.56,25.96,36.4,20.94,85.43,6.12,4.33,Pomegranate,0.824,1,0,0,1
23.29,22.99,43.6,20.82,87.23,7.0,98.5,Pomegranate,0.901,1,0,0,1
12.38,27.4,34.83,20.86,91.62,6.28,53.84,Pomegranate,0.375,0,0,0,1
34.03,13.13,50.4,24.46,86.11,6.32,78.21,Pomegranate,0.483,1,0,0,1
17.31,7.35,39.95,24.51,90.64,5.96,79.58,Pomegranate,0.919,0,0,0,1
2.51,29.59,44.59,24.57,92.03,6.59,8.35,Pomegranate,0.679,0,0,0,1
34.18,26.3,35.45,24.63,89.02,7.1,78.43,Pomegranate,0.681,1,0,0,1
16.61,27.96,37.32,20.07,90.98,6.41,78.82,Pomegranate,0.288,1,0,0,1
37.04,16.01,33.69,21.81,94.64,6.66,55.82,Pomegranate,0.568,0,0,0,1
36.09,9.33,35.9,22.81,86.34,6.28,31.5,Pomegranate,0.342,1,0,0,1
37.08,15.53,35.35,22.73,88.49,6.83,61.04,Pomegranate,0.747,1,0,0,1
20.35,21.83,35.9,23.28,94.94,6.37,3.67,Pomegranate,0.323,1,0,0,1
9.59,20.23,42.31,19.3,87.18,7.01,65.5,Pomegranate,0.82,0,0,0,1
17.96,6.32,40.3,19.01,88.84,6.9,2.9,Pomegranate,0.236,0,0,0,1
0.0,4.07,41.5,24.35,90.89,6.15,1.17,Pomegranate,0.45,1,0,0,1
25.23,7.75,41.33,24.72,88.88,5.74,192.74,Pomegranate,0.948,1,0,0,1
14.94,9.04,47.02,21.93,94.46,7.05,18.58,Pomegranate,0.586,1,0,0,1
27.97,11.35,40.92,24.84,86.89,6.03,127.01,Pomegranate,0.149,1,0,0,1
45.76,14.71,42.77,18.1,90.42,6.92,64.35,Pomegranate,0.228,0,0,0,1
8.6,5.58,36.25,20.24,91.09,6.89,7.63,Pomegranate,0.982,1,0,0,1
8.58,23.72,35.9,23.23,94.43,6.84,45.91,Pomegranate,0.979,1,0,0,1
28.55,11.74,48.39,23.5,92.98,5.79,21.8,Pomegranate,0.828,1,0,0,1
15.93,9.75,33.25,19.45,89.02,5.63,49.49,Pomegranate,0.681,0,0,0,1
23.22,25.5,47.95,20.51,92.52,5.7,53.38,Pomegranate,0.666,1,0,0,1
42.21,28.69,32.8,18.9,95.0,5.57,59.55,Pomegranate,0.493,0,0,0,1
23.97,5.76,51.18,18.91,89.24,6.08,8.17,Pomegranate,0.185,1,0,0,1
9.84,11.34,50.05,22.63,88.46,6.4,8.69,Pomegranate,0.944,0,0,0,1
35.16,20.43,40.1,19.39,86.79,5.77,2.2,Pomegranate,0.66,0,0,0,1
3.33,26.99,33.97,24.38,91.19,7.08,3.9,Pomegranate,0.629,1,0,0,1
9.31,13.68,30.2,23.78,92.93,5.89,82.39,Pomegranate,0.149,0,0,0,1
29.39,16.66,40.71,22.6,93.16,7.06,119.65,Pomegranate,0.802,0,0,0,1
38.7,10.31,34.29,24.38,85.4,5.78,9.29,Pomegranate,0.933,0,0,0,1
37.99,25.7,35.71,20.89,91.08,6.27,3.9,Pomegranate,0.561,1,0,0,1
27.27,24.21,31.69,18.1,85.71,5.89,18.49,Pomegranate,0.487,0,0,0,1
36.98,27.05,50.11,20.0,85.84,7.12,95.05,Pomegranate,0.55,1,0,0,1
3.71,12.03,45.99,19.85,89.81,6.43,34.34,Pomegranate,0.628,0,0,0,1
15.24,17.67,36.63,21.25,92.65,7.16,62.58,Pomegranate,0.842,1,0,0,1
38.85,20.22,34.89,23.65,93.33,6.43,27.84,Pomegranate,0.261,1,0,0,1
7.24,33.34,33.12,23.88,86.21,6.08,81.41,Pomegranate,0.168,1,0,0,1
97.2,102.07,48.28,29.37,76.25,6.15,73.78,Banana,0.446,1,0,0,1
113.29,100.6,58.28,27.33,83.68,5.85,78.5,Banana,0.532,0,0,0,1
109.59,87.61,50.36,27.4,82.96,6.28,39.1,Banana,0.376,1,0,0,1
94.88,72.28,46.0,29.32,80.12,5.93,41.2,Banana,0.12,1,0,0,1
66.87,82.25,46.75,26.05,79.4,5.52,96.85,Banana,0.362,1,0,0,1
78.2,76.07,49.8,25.87,84.42,6.08,4.54,Banana,0.356,0,0,0,1
83.79,77.49,52.23,27.01,80.19,6.13,15.33,Banana,0.698,1,0,0,1
105.51,91.35,61.61,29.55,78.07,5.81,51.48,Banana,0.857,1,0,0,1
106.54,81.3,44.83,26.29,83.39,5.89,44.44,Banana,0.914,0,0,0,1
94.98,73.19,57.07,29.16,76.16,5.82,18.71,Banana,0.17,1,0,0,1
132.94,88.89,44.09,28.65,82.69,5.84,14.08,Banana,0.697,1,0,0,1
114.72,70.08,46.55,29.07,76.5,6.38,14.07,Banana,0.615,1,0,0,1
107.5,76.42,41.38,28.08,75.26,5.62,39.15,Banana,0.215,1,0,0,1
114.55,70.29,63.48,27.2,78.81,5.92,6.23,Banana,0.627,0,0,0,1
73.17,112.71,53.26,28.05,78.05,6.46,6.59,Banana,0.514,1,0,0,1
98.29,83.86,48.24,25.15,83.35,5.57,4.69,Banana,0.674,1,0,0,1
80.25,76.18,44.84,25.94,78.34,6.21,96.04,Banana,0.834,1,0,0,1
108.55,73.07,41.01,27.67,79.69,6.49,38.31,Banana,0.453,0,0,0,1
119.8,86.16,36.64,25.57,75.94,5.59,98.15,Banana,0.263,1,0,0,1
95.46,96.29,49.96,28.7,82.54,6.23,4.59,Banana,0.128,1,0,0,1
99.91,92.57,53.08,26.34,76.85,6.19,4.57,Banana,0.319,1,0,0,1
108.36,74.37,42.4,25.94,78.9,5.92,53.65,Banana,0.722,1,0,0,1
78.87,76.73,42.93,25.14,84.88,6.2,43.48,Banana,0.359,0,0,0,1
73.12,76.71,45.95,27.51,80.8,6.16,80.99,Banana,0.526,0,0,0,1
91.22,71.05,52.49,26.21,82.34,6.31,1.98,Banana,0.656,1,0,0,1
80.31,85.11,45.38,29.1,79.2,6.32,8.11,Banana,0.245,1,0,0,1
122.16,87.55,38.84,29.24,77.32,5.71,63.38,Banana,0.671,1,0,0,1
110.7,70.29,45.56,25.56,77.38,6.12,7.64,Banana,0.666,1,0,0,1
106.13,91.26,42.78,26.4,81.36,5.57,66.05,Banana,0.493,1,0,0,1
98.23,88.4,49.96,28.1,77.8,5.63,2.33,Banana,0.51,1,0,0,1
97.28,104.0,45.62,27.85,83.31,6.1,4.85,Banana,0.191,1,0,0,1
90.03,69.37,58.75,27.39,81.47,6.44,86.96,Banana,0.496,1,0,0,1
120.56,74.84,53.84,25.15,81.38,6.1,1.64,Banana,0.707,1,0,0,1
87.41,71.19,47.83,28.65,79.29,5.7,79.98,Banana,0.303,1,0,0,1
89.34,87.72,41.26,29.16,76.67,5.62,162.17,Banana,0.542,1,0,0,1
102.15,76.78,44.06,27.57,82.06,6.44,1.45,Banana,0.155,1,0,0,1
139.58,90.61,41.92,25.41,82.36,6.18,3.38,Banana,0.744,0,0,0,1
96.22,66.68,53.0,25.99,83.34,6.22,4.7,Banana,0.433,0,0,0,1
83.95,58.51,57.75,26.29,81.06,5.87,7.9,Banana,0.64,0,0,0,1
95.21,76.36,42.57,29.15,78.71,6.39,26.89,Banana,0.401,1,0,0,1
71.3,93.15,54.54,26.6,79.36,6.21,8.88,Banana,0.687,0,0,0,1
96.49,68.7,55.59,25.36,75.03,6.01,34.57,Banana,0.555,1,0,0,1
125.37,93.52,54.87,29.12,80.18,5.91,28.81,Banana,0.214,1,0,0,1
105.77,86.32,42.3,27.54,77.26,6.05,8.07,Banana,0.843,0,0,0,1
96.99,97.54,58.62,29.67,83.51,6.01,59.44,Banana,0.675,1,0,0,1
67.59,85.5,39.02,25.06,84.97,5.74,45.55,Banana,0.977,1,0,0,1
99.8,78.51,54.16,25.87,78.52,5.74,39.26,Banana,0.237,1,0,0,1
94.41,83.8,46.46,25.85,81.96,5.79,155.2,Banana,0.94,0,0,0,1
89.99,110.87,41.5,26.52,77.8,5.51,7.02,Banana,0.405,1,0,0,1
129.94,97.18,52.29,28.67,79.59,5.99,43.95,Banana,0.653,0,0,0,1
89.36,85.34,53.26,28.15,81.54,5.79,177.83,Banana,0.931,1,0,0,1
126.14,89.27,52.52,26.42,83.7,5.92,17.65,Banana,0.14,1,0,0,1
113.92,65.22,51.81,26.59,81.41,6.24,3.36,Banana,0.796,0,0,0,1
80.93,70.01,54.13,27.72,76.58,6.04,195.21,Banana,0.115,0,0,0,1
100.26,79.93,44.42,28.98,82.96,5.83,9.85,Banana,0.791,1,0,0,1
103.51,82.15,63.4,29.42,83.97,6.09,184.94,Banana,0.6,0,0,0,1
66.99,77.98,41.6,27.4,81.11,6.47,115.38,Banana,0.347,0,0,0,1
103.39,69.74,47.22,26.4,84.41,5.72,6.33,Banana,0.566,0,0,0,1
80.13,80.14,44.09,27.81,82.69,5.81,8.71,Banana,0.987,1,0,0,1
125.37,76.43,62.46,25.2,83.56,5.7,6.81,Banana,0.655,1,0,0,1
131.34,86.87,49.72,28.31,75.77,6.17,2.85,Banana,0.845,1,0,0,1
101.76,71.81,49.77,25.9,80.47,6.0,25.66,Banana,0.859,0,0,0,1
79.94,64.04,58.61,27.49,76.11,6.21,9.65,Banana,0.647,1,0,0,1
83.75,93.38,49.46,29.38,83.5,5.77,3.65,Banana,0.247,1,0,0,1
88.64,75.08,56.48,29.22,81.08,5.74,44.95,Banana,0.68,0,0,0,1
103.32,73.2,55.59,27.09,81.34,5.88,28.23,Banana,0.232,1,0,0,1
99.01,69.6,47.8,26.13,81.81,6.1,1.45,Banana,0.763,1,0,0,1
75.37,82.81,48.25,29.01,77.95,5.67,32.41,Banana,0.796,1,0,0,1
96.81,79.5,55.49,27.97,79.29,5.69,93.1,Banana,0.148,1,0,0,1
114.58,82.31,46.18,28.08,76.06,5.91,73.43,Banana,0.933,1,0,0,1
110.29,68.11,48.49,25.16,84.98,6.11,9.46,Banana,0.859,1,0,0,1
102.35,88.42,64.05,25.79,84.51,6.02,3.78,Banana,0.667,1,0,0,1
104.01,94.11,54.41,25.34,84.47,6.44,57.66,Banana,0.971,1,0,0,1
102.65,86.14,58.97,29.45,78.35,5.51,62.31,Banana,0.879,1,0,0,1
106.79,62.77,52.38,26.48,78.52,5.68,58.48,Banana,0.769,1,0,0,1
81.78,69.49,44.67,27.39,83.31,5.72,41.52,Banana,0.208,1,0,0,1
106.74,101.56,49.76,25.08,80.26,6.28,42.44,Banana,0.758,1,0,0,1
104.64,71.04,46.75,26.67,76.49,6.28,9.75,Banana,0.659,1,0,0,1
134.5,83.52,50.89,25.45,79.49,6.2,67.91,Banana,0.906,0,0,0,1
98.35,103.35,53.1,28.23,80.64,5.76,2.64,Banana,0.741,1,0,0,1
102.5,86.99,47.12,28.13,77.48,6.32,98.81,Banana,0.419,0,0,0,1
76.43,72.63,50.14,28.95,82.19,5.9,1.77,Banana,0.522,1,0,0,1
78.11,71.7,57.74,27.96,84.15,5.64,36.92,Banana,0.406,1,0,0,1
98.76,99.8,43.27,28.0,78.9,6.24,8.23,Banana,0.117,0,0,0,1
90.74,81.88,51.55,29.14,80.12,6.28,86.84,Banana,0.357,0,0,0,1
99.91,83.4,56.46,27.91,83.36,6.36,95.68,Banana,0.899,1,0,0,1
105.25,77.92,44.12,25.43,81.54,5.84,9.06,Banana,0.393,1,0,0,1
92.88,92.42,51.95,28.56,84.52,5.65,47.96,Banana,0.184,1,0,0,1
116.89,79.0,44.29,26.6,83.0,5.73,21.03,Banana,0.36,1,0,0,1
96.59,86.96,49.7,27.2,77.4,6.2,2.51,Banana,0.387,1,0,0,1
106.83,91.29,39.45,25.29,79.29,5.61,72.86,Banana,0.829,1,0,0,1
82.72,73.48,44.41,29.91,76.99,6.26,170.12,Banana,0.744,1,0,0,1
128.84,76.53,51.47,27.95,76.64,6.04,5.26,Banana,0.342,1,0,0,1
84.3,107.02,53.01,25.01,78.76,5.76,7.47,Banana,0.344,1,0,0,1
74.95,86.43,50.72,29.21,84.7,6.16,167.23,Banana,0.244,1,0,0,1
118.34,97.37,53.54,27.36,84.55,6.39,199.38,Banana,0.929,1,0,0,1
106.62,84.71,49.05,28.01,76.53,5.89,3.94,Banana,0.622,0,0,0,1
107.53,79.37,63.02,28.67,82.21,5.73,5.22,Banana,0.168,1,0,0,1
79.09,78.58,46.46,27.35,78.49,6.28,38.28,Banana,0.518,1,0,0,1
132.27,87.94,50.59,29.51,78.21,5.51,17.87,Banana,0.41,1,0,0,1
2.37,36.55,22.9,29.74,47.55,5.95,178.19,Mango,0.238,1,0,0,1
36.32,26.62,27.78,33.56,53.73,4.76,75.58,Mango,0.987,1,0,0,1
18.96,20.87,25.03,27.0,47.68,5.7,47.58,Mango,0.662,0,0,0,1
27.02,19.62,27.07,33.56,45.54,5.98,196.62,Mango,0.155,1,0,0,1
0.0,17.84,26.31,35.9,54.26,6.43,88.72,Mango,0.523,0,0,0,1
20.84,15.62,37.6,34.18,50.62,6.11,70.48,Mango,0.414,1,0,0,1
18.67,20.65,32.89,30.02,53.19,5.07,23.28,Mango,0.518,0,0,0,1
20.26,16.68,36.27,31.75,45.16,5.67,32.06,Mango,0.772,1,0,0,1
9.11,29.63,35.93,35.99,52.23,5.98,64.16,Mango,0.18,1,0,0,1
28.61,28.19,29.92,31.87,52.19,5.06,100.46,Mango,0.627,1,0,0,1
15.19,21.54,25.56,27.76,52.35,4.77,67.43,Mango,0.53,1,0,0,1
19.41,27.34,22.23,34.72,51.43,5.16,46.52,Mango,0.484,1,0,0,1
30.68,33.34,27.59,27.54,53.64,6.8,119.96,Mango,0.237,0,0,0,1
11.77,25.93,28.94,27.7,48.56,6.39,91.35,Mango,0.117,0,0,0,1
11.2,20.35,35.41,27.25,52.66,5.57,41.04,Mango,0.16,0,0,0,1
2.74,26.62,36.71,30.34,48.89,5.76,4.43,Mango,0.265,1,0,0,1
36.95,31.22,34.85,31.86,45.53,5.42,1.64,Mango,0.765,0,0,0,1
